prefix,namespace
is:,<http://purl.org/ontology/is/core#>
plink:,<http://buzzword.org.uk/rdf/personal-link-types#>
psych:,<http://purl.org/vocab/psychometric-profile/>
arpfo:,<http://vocab.ouls.ox.ac.uk/projectfunding#>
ldap:,<http://purl.org/net/ldap/>
com:,<http://purl.org/commerce#>
pimo:,<http://www.semanticdesktop.org/ontologies/2007/11/01/pimo#>
conserv:,<http://conserv.deri.ie/ontology#>
txn:,<http://lod.taxonconcept.org/ontology/txn.owl#>
muo:,<http://purl.oclc.org/NET/muo/muo#>
datafaqs:,<http://purl.org/twc/vocab/datafaqs#>
pdo:,<http://ontologies.smile.deri.ie/pdo#>
gsp:,<http://www.opengis.net/ont/geosparql#>
pgterms:,<http://www.gutenberg.org/2009/pgterms/>
lvont:,<http://lexvo.org/ontology#>
edam:,<http://edamontology.org/>
asn:,<http://purl.org/ASN/schema/core/>
human:,<http://eulersharp.sourceforge.net/2003/03swap/human#>
coin:,<http://purl.org/court/def/2009/coin#>
sioca:,<http://rdfs.org/sioc/actions#>
dbpp:,<http://dbpedia.org/property/>
wordnet:,<http://wordnet-rdf.princeton.edu/ontology#>
blt:,<http://www.bl.uk/schemas/bibliographic/blterms#>
vivo:,<http://vivoweb.org/ontology/core#>
nsa:,<http://multimedialab.elis.ugent.be/organon/ontologies/ninsuna#>
evset:,<http://dsnotify.org/vocab/eventset/0.1/>
rdau:,<http://rdaregistry.info/Elements/u/>
posh:,<http://poshrdf.org/ns/posh/>
isi:,<http://purl.org/ontology/is/inst/>
isq:,<http://purl.org/ontology/is/quality/>
osoc:,<http://web-semantics.org/ns/opensocial#>
wnschema:,<http://www.cogsci.princeton.edu/~wn/schema/>
tripfs:,<http://purl.org/tripfs/2010/02#>
kontakt:,<http://richard.cyganiak.de/>
lp:,<http://launchpad.net/rdf/launchpad#>
urn:,<http://fliqz.com/>
ncal:,<http://www.semanticdesktop.org/ontologies/2007/04/02/ncal#>
okkam:,<http://models.okkam.org/ENS-core-vocabulary#>
bookmark:,<http://www.w3.org/2002/01/bookmark#>
muto:,<http://purl.org/muto/core#>
cheminf:,<http://www.semanticweb.org/ontologies/cheminf.owl#>
yoda:,<http://purl.org/NET/yoda#>
bsbm:,<http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/>
ean:,<http://openean.kaufkauf.net/id/>
mei:,<http://www.music-encoding.org/ns/mei/>
pim:,<http://www.w3.org/ns/pim/space#>
b2bo:,<http://purl.org/b2bo#>
opus:,<http://lsdis.cs.uga.edu/projects/semdis/opus#>
sl:,<http://www.semanlink.net/2001/00/semanlink-schema#>
np:,<http://www.nanopub.org/nschema#>
cpv:,<http://purl.org/weso/cpv/>
session:,<http://redfoot.net/2005/session#>
lark1:,<http://users.utcluj.ro/~raluca/ontology/Ontology1279614123500.owl#>
h5:,<http://buzzword.org.uk/rdf/h5#>
xhtmlvocab:,<http://www.w3.org/1999/xhtml/vocab/>
deo:,<http://purl.org/spar/deo/>
iot:,<http://iotschema.org/>
rdaa:,<http://rdaregistry.info/Elements/a/>
payment:,<http://reference.data.gov.uk/def/payment#>
seas:,<https://w3id.org/seas/>
locn:,<http://www.w3.org/ns/locn#>
enc:,<http://www.w3.org/2001/04/xmlenc#>
arch:,<http://purl.org/archival/vocab/arch#>
swanpav:,<http://purl.org/swan/1.2/pav/>
address:,<http://schemas.talis.com/2005/address/schema#>
drug:,<http://www.agfa.com/w3c/2009/drugTherapy#>
odrl:,<http://www.w3.org/ns/odrl/2/>
timeline:,<http://purl.org/NET/c4dm/timeline.owl#>
lr:,<http://linkedrecipes.org/schema/>
vso:,<http://purl.org/vso/ns#>
vsr:,<http://purl.org/twc/vocab/vsr#>
geospecies:,<http://rdf.geospecies.org/ont/geospecies#>
calli:,<http://callimachusproject.org/rdf/2009/framework#>
osgb:,<http://data.ordnancesurvey.co.uk/id/>
geographis:,<http://telegraphis.net/ontology/geography/geography#>
pml:,<http://provenanceweb.org/ns/pml#>
olo:,<http://purl.org/ontology/olo/core#>
bag:,<http://bag.basisregistraties.overheid.nl/def/bag#>
wairole:,<http://www.w3.org/2005/01/wai-rdf/GUIRoleTaxonomy#>
oslc:,<http://open-services.net/ns/core#>
frbre:,<http://purl.org/vocab/frbr/extended#>
sawsdl:,<http://www.w3.org/ns/sawsdl#>
sdo:,<https://schema.org/>
cpm:,<http://catalogus-professorum.org/cpm/2/>
overheid:,<http://standaarden.overheid.nl/owms/>
zem:,<http://s.zemanta.com/ns#>
fab:,<http://purl.org/fab/ns#>
ic:,<http://imi.go.jp/ns/core/rdf#>
ospost:,<http://data.ordnancesurvey.co.uk/ontology/postcode/>
dita:,<http://purl.org/dita/ns#>
pmlt:,<http://inference-web.org/2.0/pml-trust.owl#>
eprints:,<http://eprints.org/ontology/>
vitro:,<http://vitro.mannlib.cornell.edu/ns/vitro/public#>
wlp:,<http://weblab-project.org/core/model/property/processing/>
coo:,<http://purl.org/coo/ns#>
fd:,<http://foodable.co/ns/>
bte:,<http://purl.org/twc/vocab/between-the-edges/>
exterms:,<http://www.example.org/terms/>
arg:,<http://rdfs.org/sioc/argument#>
tarot:,<http://data.totl.net/tarot/card/>
prvtypes:,<http://purl.org/net/provenance/types#>
role:,<https://w3id.org/role/>
ludo:,<http://ns.inria.fr/ludo/v1#>
ann:,<http://www.w3.org/2000/10/annotation-ns#>
agetec:,<http://www.agetec.org/>
zbwext:,<http://zbw.eu/namespaces/zbw-extensions/>
uri:,<http://purl.org/NET/uri#>
gv:,<http://rdf.data-vocabulary.org/#>
aair:,<http://xmlns.notu.be/aair#>
br:,<http://vocab.deri.ie/br#>
card:,<http://www.ashutosh.com/test/>
api:,<http://purl.org/linked-data/api/vocab#>
wisski:,<http://wiss-ki.eu/>
lex:,<http://purl.org/lex#>
hospital:,<http://www.agfa.com/w3c/2009/hospital#>
faldo:,<http://biohackathon.org/resource/faldo#>
cube:,<http://purl.org/linked-data/cube#>
remus:,<http://www.semanticweb.org/ontologies/2010/6/Ontology1279614123500.owl#>
imreg:,<http://www.w3.org/2004/02/image-regions#>
care:,<http://eulersharp.sourceforge.net/2003/03swap/care#>
greg:,<http://kasei.us/about/foaf.xrdf#>
agents:,<http://eulersharp.sourceforge.net/2003/03swap/agent#>
voag:,<http://voag.linkedmodel.org/schema/voag#>
wiki:,<http://en.wikipedia.org/wiki/>
nndsr:,<http://semanticdiet.com/schema/usda/nndsr/>
rdam:,<http://rdaregistry.info/Elements/m/>
wai:,<http://purl.org/wai#>
muni:,<http://vocab.linkeddata.es/urbanismo-infraestructuras/territorio#>
dive:,<http://scubadive.networld.to/dive.rdf#>
cmo:,<http://purl.org/twc/ontologies/cmo.owl#>
wikipedia:,<http://wikipedia.no/rdf/>
swanci:,<http://purl.org/swan/1.2/citations/>
eli:,<http://data.europa.eu/eli/ontology#>
aapi:,<http://rdf.alchemyapi.com/rdf/v1/s/aapi-schema#>
rooms:,<http://vocab.deri.ie/rooms#>
xesam:,<http://freedesktop.org/standards/xesam/1.0/core#>
geodata:,<http://sws.geonames.org/>
marl:,<http://www.gsi.dit.upm.es/ontologies/marl/ns#>
prefix:,<http://prefix.cc/>
status:,<http://www.w3.org/2003/06/sw-vocab-status/ns#>
pro:,<http://purl.org/hpi/patchr#>
languages:,<http://eulersharp.sourceforge.net/2003/03swap/languages#>
bing:,<http://bing.com/schema/media/>
odp:,<http://ontologydesignpatterns.org/>
ncbitaxon:,<http://purl.org/obo/owl/NCBITaxon#>
ogp:,<http://ogp.me/ns#>
cos:,<http://www.inria.fr/acacia/corese#>
qa:,<http://www.mit.jyu.fi/ai/TRUST_Ontologies/QA.owl#>
opwn:,<http://www.ontologyportal.org/WordNet.owl#>
linkedmdb:,<http://data.linkedmdb.org/sparql/>
opmv:,<http://purl.org/net/opmv/ns#>
mygrid:,<http://www.mygrid.org.uk/ontology#>
req:,<http://purl.org/req/>
fls:,<http://lukasblaho.sk/football_league_schema#>
gc:,<http://www.oegov.org/core/owl/gc#>
dnb:,<http://d-nb.info/gnd/>
re:,<http://www.w3.org/2000/10/swap/reason#>
un:,<http://www.w3.org/2007/ont/unit#>
pay:,<http://reference.data.gov.uk/def/payment#>
dso:,<http://purl.org/ontology/dso#>
rda:,<http://www.rdaregistry.info/>
city:,<http://datos.localidata.com/def/City#>
tcga:,<http://purl.org/tcga/core#>
leak:,<http://data.ontotext.com/resource/leak/>
hemogram:,<http://www.agfa.com/w3c/2009/hemogram#>
xfnv:,<http://vocab.sindice.com/xfn#>
dbpo:,<http://dbpedia.org/ontology/>
tr:,<http://www.thomsonreuters.com/>
webtlab:,<http://webtlab.it.uc3m.es/>
pos:,<http://www.w3.org/2003/01/geo/wgs84_pos#>
esd:,<http://def.esd.org.uk/>
cex:,<http://purl.org/weso/computex/ontology#>
life:,<http://life.deri.ie/schema/>
r2r:,<http://www4.wiwiss.fu-berlin.de/bizer/r2r/>
provenir:,<http://knoesis.wright.edu/provenir/provenir.owl#>
fowl:,<http://www.w3.org/TR/2003/PR-owl-guide-20031209/food#>
xsl:,<http://www.w3.org/1999/XSL/Transform#>
aos:,<http://rdf.muninn-project.org/ontologies/appearances#>
evopat:,<http://ns.aksw.org/Evolution/>
protons:,<http://proton.semanticweb.org/2005/04/protons#>
iso:,<http://purl.org/iso25964/skos-thes#>
bne:,<http://datos.bne.es/resource/>
linkedct:,<http://data.linkedct.org/vocab/>
wao:,<http://webtlab.it.uc3m.es/2010/10/WebAppsOntology#>
oboe:,<http://ecoinformatics.org/oboe/oboe.1.0/oboe-core.owl#>
atomowl:,<http://bblfish.net/work/atom-owl/2006-06-06/#>
rlog:,<http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#>
countries:,<http://eulersharp.sourceforge.net/2003/03swap/countries#>
c4o:,<http://purl.org/spar/c4o/>
bioskos:,<http://eulersharp.sourceforge.net/2003/03swap/bioSKOSSchemes#>
ppo:,<http://vocab.deri.ie/ppo#>
derecho:,<http://purl.org/derecho#>
dcr:,<http://www.isocat.org/ns/dcr.rdf#>
mm:,<http://linkedmultimedia.org/sparql-mm/ns/2.0.0/function#>
omv:,<http://omv.ontoware.org/2005/05/ontology#>
fea:,<http://vocab.data.gov/def/fea#>
algo:,<http://securitytoolbox.appspot.com/securityAlgorithms#>
xds:,<http://www.w3.org/2001/XMLSchema#>
kdo:,<http://kdo.render-project.eu/kdo#>
dayta:,<http://dayta.me/resource#>
mime:,<https://www.iana.org/assignments/media-types/>
stanford:,<http://purl.org/olia/stanford.owl#>
organiz:,<http://eulersharp.sourceforge.net/2003/03swap/organization#>
skip:,<http://skipforward.net/skipforward/resource/>
agent:,<http://eulersharp.sourceforge.net/2003/03swap/agent#>
dgfoaf:,<http://west.uni-koblenz.de/ontologies/2010/07/dgfoaf.owl#>
govtrackus:,<http://www.rdfabout.com/rdf/usgov/geo/us/>
prf:,<http://www.openmobilealliance.org/tech/profiles/UAPROF/ccppschema-20021212#>
scsv:,<http://purl.org/NET/schema-org-csv#>
dco:,<http://info.deepcarbon.net/schema#>
bibframe:,<http://bibframe.org/vocab/>
nocal:,<http://vocab.deri.ie/nocal#>
wbp:,<http://worldbank.270a.info/property/>
comm:,<http://vocab.resc.info/communication#>
quak:,<http://dev.w3.org/cvsweb/2000/quacken/vocab#>
cao:,<http://purl.org/makolab/caont/>
soc:,<http://purl.org/net/hdlipcores/ontology/soc#>
pf:,<http://jena.hpl.hp.com/ARQ/property#>
loticoowl:,<http://www.lotico.com/ontology/>
aneo:,<http://akonadi-project.org/ontologies/aneo#>
span:,<http://www.ifomis.org/bfo/1.1/span#>
oboro:,<http://obofoundry.org/ro/ro.owl#>
gazetteer:,<http://data.ordnancesurvey.co.uk/ontology/50kGazetteer/>
arecipe:,<http://purl.org/amicroformat/arecipe/>
xbrli:,<http://www.xbrl.org/2003/instance#>
agrelon:,<http://d-nb.info/standards/elementset/agrelon#>
won:,<https://w3id.org/won/core#>
osn:,<http://spatial.ucd.ie/lod/osn/>
ccom:,<http://purl.org/ontology/cco/mappings#>
prvr:,<http://purl.org/ontology/prv/rules#>
toby:,<http://tobyinkster.co.uk/#>
gelo:,<http://krauthammerlab.med.yale.edu/ontologies/gelo#>
ens:,<http://models.okkam.org/ENS-core-vocabulary.owl#>
gridworks:,<http://purl.org/net/opmv/types/gridworks#>
teach:,<http://linkedscience.org/teach/ns#>
emotion:,<http://ns.inria.fr/emoca#>
elog:,<http://eulersharp.sourceforge.net/2003/03swap/log-rules#>
rdo:,<http://purl.org/rdo/ns#>
oad:,<http://lod.xdams.org/reload/oad/>
jita:,<http://aims.fao.org/aos/jita/>
dis:,<http://stanbol.apache.org/ontology/disambiguation/disambiguation#>
sindice:,<http://vocab.sindice.net/>
swanag:,<http://purl.org/swan/1.2/agents/>
units:,<http://eulersharp.sourceforge.net/2003/03swap/units#>
eclap:,<http://www.eclap.eu/schema/eclap/>
spatial:,<http://geovocab.org/spatial#>
rv:,<http://wifo-ravensburg.de/semanticweb.rdf#>
theatre:,<http://purl.org/theatre#>
decl:,<http://www.linkedmodel.org/1.0/schema/decl#>
igeo:,<http://rdf.insee.fr/def/geo#>
visit:,<http://purl.org/net/vocab/2004/07/visit#>
idemo:,<http://rdf.insee.fr/def/demo#>
vaem:,<http://www.linkedmodel.org/schema/vaem#>
iao:,<http://purl.obolibrary.org/obo/iao.owl#>
wp:,<http://vocabularies.wikipathways.org/wp#>
hxl:,<http://hxl.humanitarianresponse.info/ns/#>
oboso:,<http://purl.org/obo/owl/SO#>
out:,<http://ontologies.hypios.com/out#>
san:,<http://www.irit.fr/recherches/MELODI/ontologies/SAN#>
uni:,<http://purl.org/weso/uni/uni.html#>
dsp:,<http://purl.org/metainfo/terms/dsp#>
events:,<http://eulersharp.sourceforge.net/2003/03swap/event#>
genab:,<http://eulersharp.sourceforge.net/2003/03swap/genomeAbnormality#>
pccz:,<http://purl.org/procurement/public-contracts-czech#>
rad:,<http://www.w3.org/ns/rad#>
tmpl:,<http://purl.org/restdesc/http-template#>
oper:,<http://sweet.jpl.nasa.gov/2.0/mathOperation.owl#>
nuts:,<http://dd.eionet.europa.eu/vocabulary/common/nuts/>
aigp:,<http://swat.cse.lehigh.edu/resources/onto/aigp.owl#>
fc:,<http://www.freeclass.eu/freeclass_v1#>
enhancer:,<http://stanbol.apache.org/ontology/enhancer/enhancer#>
metalex:,<http://www.metalex.eu/schema/1.0#>
cidoccrm:,<http://purl.org/NET/cidoc-crm/core#>
sig:,<http://purl.org/signature#>
doco:,<http://purl.org/spar/doco/>
ple:,<http://pleiades.stoa.org/places/>
wgspos:,<http://www.w3.org/2003/01/geo/wgs84_pos#>
health:,<http://purl.org/twc/health/vocab/>
clineva:,<http://www.agfa.com/w3c/2009/clinicalEvaluation#>
commons:,<http://commons.psi.enakting.org/def/>
cb:,<http://cbasewrap.ontologycentral.com/vocab#>
sql:,<http://ns.inria.fr/ast/sql#>
bbc:,<http://www.bbc.co.uk/ontologies/news/>
wbc:,<http://worldbank.270a.info/classification/>
shv:,<http://ns.aksw.org/spatialHierarchy/>
italy:,<http://data.kasabi.com/dataset/italy/schema/>
admssw:,<http://purl.org/adms/sw/>
xch:,<http://oanda2rdf.appspot.com/xch/>
humanbody:,<http://eulersharp.sourceforge.net/2003/03swap/humanBody#>
w3p:,<http://prov4j.org/w3p/>
dbt:,<http://dbpedia.org/resource/Template:>
sem:,<http://semanticweb.cs.vu.nl/2009/11/sem/>
httpm:,<http://www.w3.org/2011/http-methods#>
xt:,<http://purl.org/twc/vocab/cross-topix#>
oax:,<http://www.w3.org/ns/openannotation/extensions/>
transit:,<http://vocab.org/transit/terms/>
myprefix:,<http://myprefix.org/>
kw:,<http://kwantu.net/kw/>
ufmedia:,<http://purl.org/microformat/hmedia/>
ogorg:,<http://opengraph.org/schema/>
wi:,<http://purl.org/ontology/wi/core#>
intervals:,<http://reference.data.gov.uk/def/intervals/>
oj:,<http://ontojob.at/>
recipe:,<http://linkedrecipes.org/schema/>
pns:,<http://data.press.net/ontology/stuff/>
fcm:,<http://eulersharp.sourceforge.net/2006/02swap/fcm#>
kupkb:,<http://www.e-lico.eu/data/kupkb/>
scowt:,<http://purl.org/weso/ontologies/scowt#>
aims:,<http://aims.fao.org/aos/common/>
owltime:,<http://www.w3.org/TR/owl-time#>
swpo:,<http://sw-portal.deri.org/ontologies/swportal#>
pol:,<http://escience.rpi.edu/ontology/semanteco/2/0/pollution.owl#>
ccard:,<http://purl.org/commerce/creditcard#>
pna:,<http://data.press.net/ontology/asset/>
premis:,<http://www.loc.gov/premis/rdf/v1#>
dtype:,<http://www.linkedmodel.org/schema/dtype#>
set:,<http://www.w3.org/2000/10/swap/set#>
visko:,<http://trust.utep.edu/visko/ontology/visko-operator-v3.owl#>
reve:,<http://data.eurecom.fr/ontology/reve#>
rlno:,<http://rdflivenews.aksw.org/ontology/>
coeus:,<http://bioinformatics.ua.pt/coeus/>
owls:,<http://www.daml.org/services/owl-s/1.2/Service.owl#>
artstor:,<http://simile.mit.edu/2003/10/ontologies/artstor#>
htir:,<http://www.w3.org/2011/http#>
gxa:,<http://www.ebi.ac.uk/gxa/>
itsmo:,<http://ontology.it/itsmo/v1#>
infosys:,<http://www.infosys.com/>
vocab:,<http://rdf.ontology2.com/vocab#>
mp:,<http://jicamaro.info/mp#>
wf:,<http://www.w3.org/2005/01/wf/flow#>
healthcare:,<http://www.agfa.com/w3c/2009/healthCare#>
semtweet:,<http://semantictweet.com/>
aersv:,<http://aers.data2semantics.org/vocab/>
wfm:,<http://purl.org/net/wf-motifs#>
tei:,<http://www.tei-c.org/ns/1.0/>
wl:,<http://www.wsmo.org/ns/wsmo-lite#>
mte:,<http://nl.ijs.si/ME/owl/>
sdgp:,<http://stats.data-gov.ie/property/>
spif:,<http://spinrdf.org/spif#>
wfdesc:,<http://purl.org/wf4ever/wfdesc#>
carfo:,<http://purl.org/carfo#>
sgv:,<http://www.w3.org/TR/SVG/>
rating:,<http://www.tvblob.com/ratings/#>
ends:,<http://labs.mondeca.com/vocab/endpointStatus#>
goef:,<http://purl.org/twc/vocab/goef#>
eseduc:,<http://www.purl.org/ontologia/eseduc#>
pne:,<http://data.press.net/ontology/event/>
lctr:,<http://data.linkedct.org/vocab/resource/>
ipad:,<http://www.padinthecity.com/>
wapp:,<http://ns.rww.io/wapp#>
nytimes:,<http://data.nytimes.com/elements/>
npgg:,<http://ns.nature.com/graphs/>
dl:,<http://ontology.ip.rm.cnr.it/ontologies/DOLCE-Lite#>
penis:,<http://penis.to/#>
geom:,<http://data.ign.fr/def/geometrie#>
fl:,<http://eulersharp.sourceforge.net/2003/03swap/fl-rules#>
hgnc:,<http://bio2rdf.org/hgnc:>
dctypes:,<http://purl.org/dc/dcmitype/>
osmsemnet:,<http://spatial.ucd.ie/2012/08/osmsemnet/>
orca:,<http://geni-orca.renci.org/owl/topology.owl#>
vcardx:,<http://buzzword.org.uk/rdf/vcardx#>
bsb:,<http://opacplus.bsb-muenchen.de/title/>
frapo:,<http://purl.org/cerif/frapo/>
place:,<http://purl.org/ontology/places/>
wm:,<http://ns.inria.fr/webmarks#>
prolog:,<http://eulersharp.sourceforge.net/2003/03swap/prolog#>
pronom:,<http://reference.data.gov.uk/technical-registry/>
flow:,<http://www.w3.org/2005/01/wf/flow#>
rdfdf:,<http://www.openlinksw.com/virtrdf-data-formats#>
wsc:,<http://www.openk.org/wscaim.owl#>
coun:,<http://www.daml.org/2001/09/countries/iso-3166-ont#>
s4ac:,<http://ns.inria.fr/s4ac/v2#>
nyt:,<http://data.nytimes.com/>
telix:,<http://purl.org/telix#>
govwild:,<http://govwild.org/0.6/GWOntology.rdf/>
malignneo:,<http://www.agfa.com/w3c/2009/malignantNeoplasm#>
moby:,<http://www.mygrid.org.uk/mygrid-moby-service#>
aerols:,<http://xmlns.com/aerols/0.1/>
nxp:,<http://purl.org/nxp/schema/v1/>
pkmn:,<http://pokedex.dataincubator.org/pkm/>
xmls:,<http://www.w3.org/2001/XMLSchema#>
oac:,<http://www.openannotation.org/ns/>
npgd:,<http://ns.nature.com/datasets/>
oboinowl:,<http://www.geneontology.org/formats/oboInOwl#>
ngeoi:,<http://vocab.lenka.no/geo-deling#>
dcm:,<http://dcm.com/>
poder:,<http://poderopedia.com/vocab/>
soap:,<http://www.w3.org/2003/05/soap-envelope/>
open:,<http://open.vocab.org/terms/>
osr:,<http://dati.senato.it/osr/>
ekaw:,<http://data.semanticweb.org/conference/ekaw/2012/complete/>
bm:,<http://bio2rdf.org/>
dssn:,<http://purl.org/net/dssn/>
saxon:,<http://saxon.sf.net/>
eye:,<http://jena.hpl.hp.com/Eyeball#>
fct:,<http://openlinksw.com/services/facets/1.0/>
nsl:,<http://purl.org/ontology/storyline/>
centrifuge:,<http://purl.org/twc/vocab/centrifuge#>
ecpo:,<http://purl.org/ontology/ecpo#>
cf:,<http://mmisw.org/ont/cf/parameter/>
crtv:,<http://open-services.net/ns/crtv#>
mil:,<http://rdf.muninn-project.org/ontologies/military#>
rpubl:,<http://rinfo.lagrummet.se/ns/2008/11/rinfo/publ#>
ec:,<http://eulergui.sourceforge.net/contacts.owl.n3#>
lh:,<http://vocab.inf.ed.ac.uk/library/holdings#>
func:,<http://www.w3.org/2007/rif-builtin-function#>
emp:,<http://purl.org/ctic/empleo/oferta#>
ecb:,<http://ecb.270a.info/class/1.0/>
openskos:,<http://openskos.org/xmlns#>
mohammad:,<http://manesht.ir/>
diseasome:,<http://www4.wiwiss.fu-berlin.de/diseasome/resource/diseasome/>
atomrdf:,<http://atomowl.org/ontologies/atomrdf#>
category:,<http://dbpedia.org/resource/Category:>
rso:,<http://www.researchspace.org/ontology/>
lod2:,<http://lod2.eu/schema/>
okg:,<http://openknowledgegraph.org/ontology/>
pam:,<http://prismstandard.org/namespaces/pam/2.0/>
str:,<http://nlp2rdf.lod2.eu/schema/string/>
daiaserv:,<http://purl.org/ontology/daia/Service/>
clinproc:,<http://www.agfa.com/w3c/2009/clinicalProcedure#>
environ:,<http://eulersharp.sourceforge.net/2003/03swap/environment#>
wfprov:,<http://purl.org/wf4ever/wfprov#>
vsto:,<http://escience.rpi.edu/ontology/vsto/2/0/vsto.owl#>
te:,<http://www.w3.org/2006/time-entry#>
p20:,<http://zbw.eu/beta/p20/vocab/>
camelot:,<http://vocab.ox.ac.uk/camelot#>
lgv:,<http://linkedgeodata.org/ontology/>
msr:,<http://www.telegraphis.net/ontology/measurement/measurement#>
rdaw:,<http://rdaregistry.info/Elements/w/>
gfo:,<http://www.onto-med.de/ontologies/gfo.owl#>
no:,<http://km.aifb.kit.edu/projects/numbers/number#>
cold:,<http://purl.org/configurationontology#>
ql:,<http://www.w3.org/2004/ql#>
wkd:,<http://schema.wolterskluwer.de/>
marshall:,<http://sites.google.com/site/xgmaitc/>
article:,<http://ogp.me/ns/article#>
ling:,<http://purl.org/voc/ling/>
genea:,<http://www.owl-ontologies.com/generations.owl#>
grs:,<http://www.georss.org/georss/>
hartigprov:,<http://purl.org/net/provenance/ns#>
fingal:,<http://vocab.deri.ie/fingal#>
bmo:,<http://collection.britishmuseum.org/id/ontology/>
biordf:,<http://purl.org/net/biordfmicroarray/ns#>
dpl:,<http://dbpedialite.org/things/>
va:,<http://code-research.eu/ontology/visual-analytics#>
gbv:,<http://purl.org/ontology/gbv/>
meb:,<http://rdf.myexperiment.org/ontologies/base/>
vra:,<http://purl.org/vra/>
wscaim:,<http://www.openk.org/wscaim.owl#>
tisc:,<http://observedchange.com/tisc/ns#>
osp:,<http://data.lirmm.fr/ontologies/osp#>
sad:,<http://vocab.deri.ie/sad#>
mpeg7:,<http://rhizomik.net/ontologies/2005/03/Mpeg7-2001.owl#>
oecd:,<http://oecd.270a.info/dataset/>
identity:,<http://purl.org/twc/ontologies/identity.owl#>
cis:,<http://purl.org/NET/cloudisus#>
namespaces:,<https://vg.no/>
mtecore:,<http://purl.org/olia/mte/multext-east.owl#>
geofla:,<http://data.ign.fr/ontologies/geofla#>
d2r:,<http://sites.wiwiss.fu-berlin.de/suhl/bizer/d2r-server/config.rdf#>
oarj:,<http://opendepot.org/reference/linked/1.0/>
occult:,<http://data.totl.net/occult/>
archdesc:,<http://archdesc.info/archEvent#>
frad:,<http://iflastandards.info/ns/fr/frad/>
opmw:,<http://www.opmw.org/ontology/>
skos08:,<http://www.w3.org/2008/05/skos#>
l4a:,<http://labels4all.info/ns/>
iron:,<http://purl.org/ontology/iron#>
scms:,<http://ns.aksw.org/scms/annotations/>
bcnnorms:,<http://datos.bcn.cl/ontologies/bcn-norms#>
geovocab:,<http://geovocab.org/>
cdtype:,<http://purl.org/cld/cdtype/>
protegedc:,<http://protege.stanford.edu/plugins/owl/dc/protege-dc.owl#>
hcard:,<http://purl.org/uF/hCard/terms/>
rich:,<http://rdf.data-vocabulary.org/>
s2s:,<http://escience.rpi.edu/ontology/sesf/s2s/4/0/>
psh:,<http://psh.techlib.cz/skos/>
kbp:,<http://tackbp.org/2013/ontology#>
tripfs2:,<http://purl.org/tripfs/2010/06#>
qvoc:,<http://mlode.nlp2rdf.org/quranvocab#>
c4dm:,<http://purl.org/NET/c4dm/event.owl#>
stac:,<http://securitytoolbox.appspot.com/stac#>
hp:,<http://purl.org/voc/hp/>
osukdt:,<http://www.ordnancesurvey.co.uk/ontology/Datatypes.owl#>
zoomaterms:,<http://rdf.ebi.ac.uk/vocabulary/zooma/>
dbyago:,<http://dbpedia.org/class/yago/>
skiresort:,<http://www.openlinksw.com/ski_resorts/schema#>
tvc:,<http://www.essepuntato.it/2012/04/tvc/>
campsite:,<http://www.openlinksw.com/campsites/schema#>
ptop:,<http://www.ontotext.com/proton/protontop#>
puelia:,<http://kwijibo.talis.com/vocabs/puelia#>
hifm:,<http://purl.org/net/hifm/data#>
ebu:,<http://semantic.eurobau.com/eurobau-utility.owl#>
opl:,<http://openlinksw.com/schema/attribution#>
transmed:,<http://www.w3.org/2001/sw/hcls/ns/transmed/>
qu:,<http://purl.oclc.org/NET/ssnx/qu/qu#>
csm:,<http://purl.org/csm/1.0#>
osspr:,<http://data.ordnancesurvey.co.uk/ontology/spatialrelations/>
dawgt:,<http://www.w3.org/2001/sw/DataAccess/tests/test-dawg#>
rssynd:,<http://web.resource.org/rss/1.0/modules/syndication/>
dcndl:,<http://ndl.go.jp/dcndl/terms/>
fos:,<http://futurios.org/fos/spec/>
gastro:,<http://www.ebsemantics.net/gastro#>
frbrcore:,<http://purl.org/vocab/frbr/core#>
mads:,<http://www.loc.gov/mads/rdf/v1#>
odcs:,<http://opendata.cz/infrastructure/odcleanstore/>
onyx:,<http://www.gsi.dit.upm.es/ontologies/onyx/ns#>
harrisons:,<http://harrisons.cc/>
curr:,<https://w3id.org/cc#>
laposte:,<http://data.lirmm.fr/ontologies/laposte#>
ru:,<http://purl.org/imbi/ru-meta.owl#>
tblcard:,<http://www.w3.org/People/Berners-Lee/card#>
bcncon:,<http://datos.bcn.cl/ontologies/bcn-congress#>
b2rpubchem:,<http://bio2rdf.org/ns/ns/ns/pubchem#>
gesis:,<http://lod.gesis.org/lodpilot/ALLBUS/vocab.rdf#>
qrl:,<http://www.aifb.kit.edu/project/ld-retriever/qrl#>
paia:,<http://purl.org/ontology/paia#>
rec54:,<http://www.w3.org/2001/02pd/rec54.rdf#>
prism21:,<http://prismstandard.org/namespaces/basic/2.1/>
bihap:,<http://bihap.kb.gov.tr/ontology/>
pubmed:,<http://bio2rdf.org/pubmed_vocabulary:>
seq:,<http://www.ontologydesignpatterns.org/cp/owl/sequence.owl#>
l4lod:,<http://ns.inria.fr/l4lod/v2/>
geop:,<http://aims.fao.org/aos/geopolitical.owl#>
elec:,<http://purl.org/ctic/sector-publico/elecciones#>
prvt:,<http://purl.org/net/provenance/types#>
